master_did,name,seed,noise
0,3_sp_gt_1,36656,0.01
1,3_sp_gt_1,36656,0.1
2,3_sp_gt_1,2369231,0.01
3,3_sp_gt_1,2369231,0.1
4,3_sp_gt_1,416304,0.01
5,3_sp_gt_1,416304,0.1
6,3_sp_gt_1,10488077,0.01
7,3_sp_gt_1,10488077,0.1
8,3_sp_gt_1,8982779,0.01
9,3_sp_gt_1,8982779,0.1
10,3_sp_gt_1,12733201,0.01
11,3_sp_gt_1,12733201,0.1
12,3_sp_gt_1,9845126,0.01
13,3_sp_gt_1,9845126,0.1
14,3_sp_gt_1,9036584,0.01
15,3_sp_gt_1,9036584,0.1
16,3_sp_gt_1,5140131,0.01
17,3_sp_gt_1,5140131,0.1
18,3_sp_gt_1,8493390,0.01
19,3_sp_gt_1,8493390,0.1
20,3_sp_gt_1,3049039,0.01
21,3_sp_gt_1,3049039,0.1
22,3_sp_gt_1,2753893,0.01
23,3_sp_gt_1,2753893,0.1
24,3_sp_gt_1,11563241,0.01
25,3_sp_gt_1,11563241,0.1
26,3_sp_gt_1,5589942,0.01
27,3_sp_gt_1,5589942,0.1
28,3_sp_gt_1,2091765,0.01
29,3_sp_gt_1,2091765,0.1
30,3_sp_gt_1,2905119,0.01
31,3_sp_gt_1,2905119,0.1
32,3_sp_gt_1,4240255,0.01
33,3_sp_gt_1,4240255,0.1
34,3_sp_gt_1,10011807,0.01
35,3_sp_gt_1,10011807,0.1
36,3_sp_gt_1,5576645,0.01
37,3_sp_gt_1,5576645,0.1
38,3_sp_gt_1,591973,0.01
39,3_sp_gt_1,591973,0.1
40,3_sp_gt_1,4211685,0.01
41,3_sp_gt_1,4211685,0.1
42,3_sp_gt_1,9275155,0.01
43,3_sp_gt_1,9275155,0.1
44,3_sp_gt_1,10793741,0.01
45,3_sp_gt_1,10793741,0.1
46,3_sp_gt_1,41300,0.01
47,3_sp_gt_1,41300,0.1
48,3_sp_gt_1,2858482,0.01
49,3_sp_gt_1,2858482,0.1
50,3_sp_gt_1,6550368,0.01
51,3_sp_gt_1,6550368,0.1
52,3_sp_gt_1,3346496,0.01
53,3_sp_gt_1,3346496,0.1
54,3_sp_gt_1,12305126,0.01
55,3_sp_gt_1,12305126,0.1
56,3_sp_gt_1,8717317,0.01
57,3_sp_gt_1,8717317,0.1
58,3_sp_gt_1,6543552,0.01
59,3_sp_gt_1,6543552,0.1
60,3_sp_gt_1,5614865,0.01
61,3_sp_gt_1,5614865,0.1
62,3_sp_gt_1,9104526,0.01
63,3_sp_gt_1,9104526,0.1
64,3_sp_gt_1,10435541,0.01
65,3_sp_gt_1,10435541,0.1
66,3_sp_gt_1,11942766,0.01
67,3_sp_gt_1,11942766,0.1
68,3_sp_gt_1,6667140,0.01
69,3_sp_gt_1,6667140,0.1
70,3_sp_gt_1,10471522,0.01
71,3_sp_gt_1,10471522,0.1
